SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
Albion,2140.0,4.0,2136.0,-1.0,-1.0,-17.0,2021-03-11 11:57:23.587452
Benner,1957.0,3.0,1954.0,-2.0,-2.0,11.0,2021-03-11 11:57:23.587452
Camp Hill,2020.0,7.0,2013.0,-1.0,-1.0,-57.0,2021-03-11 11:57:23.587452
Cambridge Springs,885.0,15.0,870.0,-2.0,-2.0,-4.0,2021-03-11 11:57:23.587452
Chester,1011.0,1.0,1010.0,0.0,0.0,19.0,2021-03-11 11:57:23.587452
Coal Township,2071.0,4.0,2067.0,21.0,21.0,-21.0,2021-03-11 11:57:23.587452
Dallas,1582.0,2.0,1580.0,-9.0,-9.0,-20.0,2021-03-11 11:57:23.587452
Frackville,1111.0,3.0,1108.0,6.0,6.0,3.0,2021-03-11 11:57:23.587452
Forest,2247.0,3.0,2244.0,-1.0,-1.0,9.0,2021-03-11 11:57:23.587452
Fayette,1967.0,3.0,1964.0,1.0,1.0,6.0,2021-03-11 11:57:23.587452
Greene,1755.0,2.0,1753.0,5.0,5.0,-13.0,2021-03-11 11:57:23.587452
Houtzdale,2378.0,2.0,2376.0,1.0,1.0,0.0,2021-03-11 11:57:23.587452
Huntingdon,1787.0,1.0,1786.0,-1.0,-1.0,-19.0,2021-03-11 11:57:23.587452
Laurel Highlands,788.0,13.0,775.0,-2.0,-2.0,-3.0,2021-03-11 11:57:23.587452
Mahanoy,2191.0,4.0,2187.0,-1.0,-1.0,6.0,2021-03-11 11:57:23.587452
Mercer,1050.0,3.0,1047.0,-6.0,-6.0,-10.0,2021-03-11 11:57:23.587452
Muncy,1069.0,8.0,1061.0,1.0,1.0,3.0,2021-03-11 11:57:23.587452
Phoenix,3003.0,8.0,2995.0,-4.0,-4.0,29.0,2021-03-11 11:57:23.587452
Pine Grove,939.0,3.0,936.0,2.0,2.0,3.0,2021-03-11 11:57:23.587452
Quehanna,274.0,0.0,274.0,0.0,0.0,4.0,2021-03-11 11:57:23.587452
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-11 11:57:23.587452
Rockview,1513.0,4.0,1509.0,-1.0,-1.0,-8.0,2021-03-11 11:57:23.587452
Smithfield,1040.0,3.0,1037.0,-55.0,-55.0,8.0,2021-03-11 11:57:23.587452
Somerset,2145.0,0.0,2145.0,-11.0,-11.0,-3.0,2021-03-11 11:57:23.587452
Waymart,865.0,7.0,858.0,-1.0,-1.0,-7.0,2021-03-11 11:57:23.587452
SCI TOTAL,37788.0,103.0,37685.0,-61.0,-61.0,-81.0,2021-03-11 11:57:23.587452
CCC/F East,500.0,0.0,500.0,1.0,1.0,5.0,2021-03-11 11:57:23.587452
CCC/F Central,619.0,0.0,619.0,-16.0,-16.0,1.0,2021-03-11 11:57:23.587452
CCC/F West,515.0,0.0,515.0,1.0,1.0,28.0,2021-03-11 11:57:23.587452
CCC/F TOTAL,1634.0,0.0,1634.0,-14.0,-14.0,34.0,2021-03-11 11:57:23.587452
