date,SCI,population,population_change_one_day,population_change_one_week,population_change_one_month
2020-04-13,Albion,2270.0,0.0,0.0,-21.0
2020-04-13,Benner,2065.0,0.0,0.0,-9.0
2020-04-13,Camp Hill,2875.0,0.0,0.0,-52.0
2020-04-13,Cambridge Springs,1153.0,-3.0,-3.0,-5.0
2020-04-13,Chester,1077.0,0.0,0.0,-44.0
2020-04-13,Coal Township,2124.0,-3.0,-3.0,-21.0
2020-04-13,Dallas,2150.0,0.0,0.0,-36.0
2020-04-13,Frackville,1185.0,0.0,0.0,-18.0
2020-04-13,Forest,2294.0,-5.0,-5.0,-5.0
2020-04-13,Fayette,1992.0,0.0,0.0,-38.0
2020-04-13,Greene,1777.0,-3.0,-3.0,-14.0
2020-04-13,Houtzdale,2485.0,-2.0,-2.0,-35.0
2020-04-13,Huntingdon,2010.0,0.0,0.0,-24.0
2020-04-13,Laurel Highlands,1412.0,-4.0,-4.0,-42.0
2020-04-13,Mahanoy,2339.0,0.0,0.0,-29.0
2020-04-13,Mercer,1333.0,0.0,0.0,-28.0
2020-04-13,Muncy,1366.0,0.0,0.0,-10.0
2020-04-13,Phoenix,3128.0,-2.0,-2.0,-70.0
2020-04-13,Pine Grove,1024.0,0.0,0.0,-13.0
2020-04-13,Quehanna,390.0,0.0,0.0,-22.0
2020-04-13,Retreat,480.0,0.0,0.0,289.0
2020-04-13,Rockview,2320.0,-1.0,-1.0,-21.0
2020-04-13,Smithfield,1297.0,0.0,0.0,-6.0
2020-04-13,Somerset,2328.0,-5.0,-5.0,-38.0
2020-04-13,Waymart,1355.0,-2.0,-2.0,-31.0
2020-04-13,SCI TOTAL,44229.0,-30.0,-30.0,-343.0
2020-04-13,CCC/F Eastern Region,1094.0,0.0,0.0,119.0
2020-04-13,CCC/F Central Region,1174.0,0.0,0.0,42.0
2020-04-13,CCC/F Western Region,849.0,0.0,0.0,161.0
2020-04-13,CCC/F TOTAL,3117.0,0.0,0.0,322.0
