INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASEFROM YESTERDAY,INCREASE/ DECREASEFROM LAST WEEK,INCREASE/ DECREASEFROM LAST MONTH,date
Albion,2188.0,4.0,2184.0,-1.0,-8.0,-53.0,2020-05-22
Benner,2018.0,4.0,2014.0,0.0,-6.0,-26.0,2020-05-22
Camp Hill,2943.0,10.0,2933.0,27.0,79.0,-52.0,2020-05-22
Cambridge Springs,1070.0,18.0,1052.0,-2.0,-10.0,-62.0,2020-05-22
Chester,946.0,3.0,943.0,-2.0,-33.0,-63.0,2020-05-22
Coal Township,2044.0,4.0,2040.0,-2.0,-14.0,-41.0,2020-05-22
Dallas,2109.0,3.0,2106.0,-1.0,-8.0,-44.0,2020-05-22
Frackville,1163.0,4.0,1159.0,-2.0,-9.0,-8.0,2020-05-22
Forest,2309.0,7.0,2302.0,-1.0,-8.0,-21.0,2020-05-22
Fayette,1888.0,4.0,1884.0,-3.0,-12.0,-54.0,2020-05-22
Greene,1738.0,4.0,1734.0,2.0,-4.0,-23.0,2020-05-22
Houtzdale,2412.0,4.0,2408.0,-2.0,-8.0,-46.0,2020-05-22
Huntingdon,1895.0,1.0,1894.0,-2.0,-43.0,-88.0,2020-05-22
Laurel Highlands,1316.0,15.0,1301.0,0.0,-8.0,-52.0,2020-05-22
Mahanoy,2254.0,5.0,2249.0,-2.0,-12.0,-45.0,2020-05-22
Mercer,1290.0,3.0,1287.0,0.0,-12.0,-36.0,2020-05-22
Muncy,1264.0,11.0,1253.0,2.0,-12.0,-43.0,2020-05-22
Phoenix,2967.0,9.0,2958.0,-8.0,18.0,-65.0,2020-05-22
Pine Grove,1004.0,4.0,1000.0,-2.0,-7.0,-24.0,2020-05-22
Quehanna,387.0,0.0,387.0,0.0,-7.0,84.0,2020-05-22
Retreat,558.0,0.0,558.0,-29.0,-43.0,200.0,2020-05-22
Rockview,2040.0,7.0,2033.0,-1.0,-7.0,-103.0,2020-05-22
Smithfield,1247.0,4.0,1243.0,-3.0,-6.0,-22.0,2020-05-22
Somerset,2270.0,0.0,2270.0,0.0,-12.0,-35.0,2020-05-22
Waymart,1250.0,11.0,1239.0,0.0,-17.0,-67.0,2020-05-22
SCI TOTAL,42570.0,139.0,42431.0,-32.0,-209.0,-789.0,2020-05-22
CCC/F East,1046.0,0.0,1046.0,6.0,10.0,21.0,2020-05-22
CCC/F Central,1166.0,0.0,1166.0,25.0,3.0,-27.0,2020-05-22
CCC/F West,740.0,0.0,740.0,1.0,-3.0,6.0,2020-05-22
CCC/F TOTAL,2952.0,0.0,2952.0,32.0,10.0,0.0,2020-05-22
