date,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month
2020-11-16,Albion,2202.0,4.0,2198.0,-2.0,-2.0,31.0
2020-11-16,Benner,1953.0,3.0,1950.0,-1.0,-1.0,-1.0
2020-11-16,Camp Hill,2000.0,7.0,1993.0,-9.0,-9.0,-55.0
2020-11-16,Cambridge Springs,942.0,18.0,924.0,-6.0,-6.0,-28.0
2020-11-16,Chester,1010.0,2.0,1008.0,-2.0,-2.0,-19.0
2020-11-16,Coal Township,2275.0,4.0,2271.0,7.0,7.0,-13.0
2020-11-16,Dallas,1976.0,2.0,1974.0,-4.0,-4.0,-21.0
2020-11-16,Frackville,1138.0,3.0,1135.0,-3.0,-3.0,92.0
2020-11-16,Forest,2327.0,4.0,2323.0,-4.0,-4.0,12.0
2020-11-16,Fayette,1963.0,3.0,1960.0,-2.0,-2.0,17.0
2020-11-16,Greene,1711.0,2.0,1709.0,-4.0,-4.0,-6.0
2020-11-16,Houtzdale,2421.0,2.0,2419.0,-4.0,-4.0,4.0
2020-11-16,Huntingdon,1691.0,1.0,1690.0,-4.0,-4.0,-15.0
2020-11-16,Laurel Highlands,832.0,13.0,819.0,-6.0,-6.0,-27.0
2020-11-16,Mahanoy,2268.0,5.0,2263.0,-5.0,-5.0,-2.0
2020-11-16,Mercer,1183.0,3.0,1180.0,-3.0,-3.0,-28.0
2020-11-16,Muncy,1063.0,10.0,1053.0,0.0,0.0,-4.0
2020-11-16,Phoenix,2959.0,9.0,2950.0,-7.0,-7.0,-12.0
2020-11-16,Pine Grove,948.0,3.0,945.0,-2.0,-2.0,-42.0
2020-11-16,Quehanna,374.0,0.0,374.0,12.0,12.0,57.0
2020-11-16,Retreat,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-16,Rockview,1559.0,4.0,1555.0,-5.0,-5.0,-22.0
2020-11-16,Smithfield,1318.0,4.0,1314.0,0.0,0.0,-17.0
2020-11-16,Somerset,2197.0,0.0,2197.0,-2.0,-2.0,-25.0
2020-11-16,Waymart,986.0,7.0,979.0,1.0,1.0,-19.0
2020-11-16,SCI TOTAL,39296.0,113.0,39183.0,-55.0,-55.0,-143.0
2020-11-16,CCC/F East,655.0,0.0,655.0,0.0,0.0,18.0
2020-11-16,CCC/F Central,804.0,0.0,804.0,0.0,0.0,-24.0
2020-11-16,CCC/F West,806.0,0.0,806.0,0.0,0.0,-17.0
2020-11-16,CCC/F TOTAL,2265.0,0.0,2265.0,0.0,0.0,-23.0
