INSTITUTION,TODAY'S POPULATION,REPRIEVE RELEASES,TODAY'S POPULATION AFTER REPRIEVE RELEASES,INCREASE/ DECREASE FROM YESTERDAY,INCREASE/ DECREASE FROM LAST WEEK,INCREASE/ DECREASE FROM LAST MONTH,date
Albion,2202.0,4.0,2198.0,0.0,-2.0,31.0,2020-11-17
Benner,1948.0,3.0,1945.0,-5.0,-6.0,-6.0,2020-11-17
Camp Hill,2048.0,7.0,2041.0,48.0,39.0,-7.0,2020-11-17
Cambridge Springs,942.0,18.0,924.0,0.0,-6.0,-28.0,2020-11-17
Chester,1005.0,2.0,1003.0,-5.0,-7.0,-24.0,2020-11-17
Coal Township,2285.0,4.0,2281.0,10.0,17.0,-3.0,2020-11-17
Dallas,1966.0,2.0,1964.0,-10.0,-14.0,-31.0,2020-11-17
Frackville,1133.0,3.0,1130.0,-5.0,-8.0,87.0,2020-11-17
Forest,2325.0,3.0,2322.0,-1.0,-5.0,11.0,2020-11-17
Fayette,1963.0,3.0,1960.0,0.0,-2.0,17.0,2020-11-17
Greene,1720.0,2.0,1718.0,9.0,5.0,3.0,2020-11-17
Houtzdale,2421.0,2.0,2419.0,0.0,-4.0,4.0,2020-11-17
Huntingdon,1690.0,1.0,1689.0,-1.0,-5.0,-16.0,2020-11-17
Laurel Highlands,831.0,13.0,818.0,-1.0,-7.0,-28.0,2020-11-17
Mahanoy,2264.0,5.0,2259.0,-4.0,-9.0,-6.0,2020-11-17
Mercer,1182.0,3.0,1179.0,-1.0,-4.0,-29.0,2020-11-17
Muncy,1061.0,10.0,1051.0,-2.0,-2.0,-6.0,2020-11-17
Phoenix,2965.0,9.0,2956.0,6.0,-1.0,-6.0,2020-11-17
Pine Grove,946.0,3.0,943.0,-2.0,-4.0,-44.0,2020-11-17
Quehanna,374.0,0.0,374.0,0.0,12.0,57.0,2020-11-17
Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-17
Rockview,1557.0,4.0,1553.0,-2.0,-7.0,-24.0,2020-11-17
Smithfield,1317.0,4.0,1313.0,-1.0,-1.0,-18.0,2020-11-17
Somerset,2195.0,0.0,2195.0,-2.0,-4.0,-27.0,2020-11-17
Waymart,985.0,7.0,978.0,-1.0,0.0,-20.0,2020-11-17
SCI TOTAL,39325.0,112.0,39213.0,30.0,-25.0,-113.0,2020-11-17
CCC/F East,655.0,0.0,655.0,0.0,0.0,18.0,2020-11-17
CCC/F Central,804.0,0.0,804.0,0.0,0.0,-24.0,2020-11-17
CCC/F West,806.0,0.0,806.0,0.0,0.0,-17.0,2020-11-17
CCC/F TOTAL,2265.0,0.0,2265.0,0.0,0.0,-23.0,2020-11-17
