,Institution,Population,Capacity,Pct_Capacity,date
3,Albion,2244,2187,102.6,2020-04-01
4,Benner Township,2018,2055,98.2,2020-04-01
5,Cambridge Springs,1114,1236,90.1,2020-04-01
6,Camp Hill,2995,3734,80.2,2020-04-01
7,Chester,1000,1117,89.5,2020-04-01
8,Coal Township,2078,2307,90.1,2020-04-01
9,Dallas,2142,1985,107.9,2020-04-01
10,Fayette,1932,2129,90.7,2020-04-01
11,Forest,2327,2309,100.8,2020-04-01
12,Frackville,1180,1166,101.2,2020-04-01
13,Greene,1752,1835,95.5,2020-04-01
14,Houtzdale,2453,2361,103.9,2020-04-01
15,Huntingdon,1973,2079,94.9,2020-04-01
16,Laurel Highlands,1366,1500,91.1,2020-04-01
17,Mahanoy,2267,2286,99.2,2020-04-01
18,Mercer,1318,1367,96.4,2020-04-01
19,Muncy,1294,1505,86.0,2020-04-01
20,Phoenix,2851,3421,83.3,2020-04-01
21,Pine Grove,1016,1163,87.4,2020-04-01
22,Quehanna,Quehanna,Quehanna,Quehanna,Quehanna
23,Retreat,375,1095,34.2,2020-04-01
24,Rockview,2050,2265,90.5,2020-04-01
25,Smithfield,1239,1342,92.3,2020-04-01
26,Somerset,2286,2188,104.5,2020-04-01
3,Albion,2191,2202,99.5,2020-05-01
4,Benner Township,1983,2055,96.5,2020-05-01
5,Cambridge Springs,1041,1236,84.2,2020-05-01
6,Camp Hill,2675,3810,70.2,2020-05-01
7,Chester,924,1219,75.8,2020-05-01
8,Coal Township,2048,2252,90.9,2020-05-01
9,Dallas,2130,1985,107.3,2020-05-01
10,Fayette,1874,2129,88.0,2020-05-01
11,Forest,2325,2309,100.7,2020-05-01
12,Frackville,1174,1172,100.2,2020-05-01
13,Greene,1724,1835,94.0,2020-05-01
14,Houtzdale,2417,2361,102.4,2020-05-01
15,Huntingdon,1874,2147,87.3,2020-05-01
16,Laurel Highlands,1296,1500,86.4,2020-05-01
17,Mahanoy,2229,2286,97.5,2020-05-01
18,Mercer,1293,1367,94.6,2020-05-01
19,Muncy,1225,1505,81.4,2020-05-01
20,Phoenix,2789,3594,77.6,2020-05-01
21,Pine Grove,997,1163,85.7,2020-05-01
22,Quehanna,Quehanna,Quehanna,Quehanna,Quehanna
23,Retreat,541,1095,49.4,2020-05-01
24,Rockview,2009,2265,88.7,2020-05-01
25,Smithfield,1232,1326,92.9,2020-05-01
26,Somerset,2268,2188,103.7,2020-05-01
3,Albion,2195,2202,99.7,2020-06-01
4,Benner Township,2016,2055,98.1,2020-06-01
5,Cambridge Springs,1027,1236,83.1,2020-06-01
6,Camp Hill,1984,3780,52.5,2020-06-01
7,Chester,975,1119,87.1,2020-06-01
8,Coal Township,2116,2252,94.0,2020-06-01
9,Dallas,2135,1985,107.6,2020-06-01
10,Fayette,2002,2129,94.0,2020-06-01
11,Forest,2382,2309,103.2,2020-06-01
12,Frackville,1204,1172,102.7,2020-06-01
13,Greene,1744,1835,95.0,2020-06-01
14,Houtzdale,2438,2368,103.0,2020-06-01
15,Huntingdon,1855,2147,86.4,2020-06-01
16,Laurel Highlands,1222,1500,81.5,2020-06-01
17,Mahanoy,2318,2286,101.4,2020-06-01
18,Mercer,1349,1367,98.7,2020-06-01
19,Muncy,1122,1505,74.6,2020-06-01
20,Phoenix,2736,3596,76.1,2020-06-01
21,Pine Grove,1044,1163,89.8,2020-06-01
22,Quehanna,Quehanna,Quehanna,Quehanna,Quehanna
23,Retreat,0,0,0.0,2020-06-01
24,Rockview,1955,2265,86.3,2020-06-01
