County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Erie,12/23/2020,4,6.4,220,269728,1.48,2.38,81.56,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Adams,10/28/2020,0,0.3,30,103009,0,0.28,29.12,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northampton,01/19/2021,7,4.1,548,305285,2.29,1.36,179.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Susquehanna,03/08/2021,0,0,53,40328,0,0,131.42,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Pennsylvania,01/26/2021,116,136.3,21978,12801989,0.91,1.06,171.68,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Jefferson,01/02/2021,0,0.7,62,43425,0,1.64,142.77,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lawrence,03/04/2021,0,0.4,188,85512,0,0.5,219.85,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Cambria,12/25/2020,4,5.9,276,130192,3.07,4.5,211.99,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Allegheny,01/07/2021,13,17.1,1334,1216045,1.07,1.41,109.7,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,02/28/2021,39,40.6,24280,12801989,0.3,0.32,189.66,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
McKean,03/04/2021,0,0.3,65,40625,0,0.7,160,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Allegheny,12/11/2020,21,19.9,798,1216045,1.73,1.63,65.62,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Jefferson,03/01/2021,0,0,90,43425,0,0,207.25,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Juniata,03/02/2021,0,0.1,81,24763,0,0.58,327.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Adams,03/07/2021,0,0.3,154,103009,0,0.28,149.5,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Pennsylvania,02/14/2021,62,71,23617,12801989,0.48,0.55,184.48,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lycoming,12/06/2020,2,3,66,113299,1.77,2.65,58.25,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Allegheny,01/21/2021,9,11,1502,1216045,0.74,0.9,123.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Washington,11/24/2020,0,1.1,69,206865,0,0.55,33.36,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Mifflin,12/16/2020,1,2.6,107,46138,2.17,5.57,231.91,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lackawanna,02/06/2021,0,2.9,399,209674,0,1.36,190.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Allegheny,12/13/2020,14,19,824,1216045,1.15,1.56,67.76,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,12/03/2020,193,148.6,11990,12801989,1.51,1.16,93.66,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cambria,12/22/2020,7,5.7,261,130192,5.38,4.39,200.47,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Monroe,03/08/2021,0,0.3,274,170271,0,0.17,160.92,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Allegheny,01/01/2021,18,17.6,1232,1216045,1.48,1.44,101.31,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Pennsylvania,01/05/2021,193,196.4,18778,12801989,1.51,1.53,146.68,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,02/20/2021,63,55.3,23942,12801989,0.49,0.43,187.02,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,03/02/2021,27,36.9,24345,12801989,0.21,0.29,190.17,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
McKean,03/08/2021,0,0.1,65,40625,0,0.35,160,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Pennsylvania,02/04/2021,82,96.3,22888,12801989,0.64,0.75,178.78,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Erie,11/21/2020,2,1.3,56,269728,0.74,0.48,20.76,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Wyoming,02/25/2021,1,0.1,42,26794,3.73,0.53,156.75,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,12/21/2020,1,2.7,108,84073,1.19,3.23,128.46,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Centre,01/19/2021,0,1.3,186,162385,0,0.79,114.54,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Bradford,01/15/2021,0,0.3,63,60323,0,0.47,104.44,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Perry,03/04/2021,0,0.1,86,46272,0,0.31,185.86,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Chester,02/17/2021,4,2.3,718,524989,0.76,0.44,136.76,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lehigh,09/21/2020,0,0.3,356,369318,0,0.08,96.39,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Pennsylvania,02/27/2021,36,42.7,24241,12801989,0.28,0.33,189.35,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Centre,11/28/2020,3,3.6,77,162385,1.85,2.2,47.42,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Pennsylvania,02/10/2021,82,79.4,23362,12801989,0.64,0.62,182.49,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Philadelphia,01/02/2021,9,16.1,2661,1584064,0.57,1.02,167.99,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
