,Unnamed: 0,county,location,count_text,incarcerated_persons
0,0.0,ADAMS,ALBION,Showing search results: 11 records,11
1,1.0,ADAMS,BENNER TOWNSHIP,Showing search results: 16 records,16
2,2.0,ADAMS,CAMBRIDGE SPRINGS,Showing search results: 7 records,7
3,3.0,ADAMS,CAMP HILL,Showing search results: 36 records,36
4,4.0,ADAMS,CHESTER,Showing search results: 15 records,15
5,5.0,ADAMS,COAL TOWNSHIP,Showing search results: 16 records,16
6,6.0,ADAMS,DALLAS,Showing search results: 4 records,4
7,7.0,ADAMS,FAYETTE,Showing search results: 11 records,11
8,8.0,ADAMS,FOREST,Showing search results: 9 records,9
9,9.0,ADAMS,FRACKVILLE,Showing search results: 7 records,7
10,10.0,ADAMS,GREENE,Showing search results: 5 records,5
11,11.0,ADAMS,HOUTZDALE,Showing search results: 17 records,17
12,12.0,ADAMS,HUNTINGDON,Showing search results: 22 records,22
13,13.0,ADAMS,LAUREL HIGHLANDS,Showing search results: 7 records,7
14,14.0,ADAMS,MAHANOY,Showing search results: 16 records,16
15,15.0,ADAMS,MERCER,Showing search results: 5 records,5
16,16.0,ADAMS,MUNCY,Showing search results: 10 records,10
17,17.0,ADAMS,PHOENIX,Showing search results: 19 records,19
18,18.0,ADAMS,PINE GROVE,Showing search results: 8 records,8
19,19.0,ADAMS,QUEHANNA BOOT CAMP,Showing search results: 2 records,2
20,20.0,ADAMS,ROCKVIEW,Showing search results: 8 records,8
21,21.0,ADAMS,SMITHFIELD,Showing search results: 7 records,7
22,22.0,ADAMS,SOMERSET,Showing search results: 21 records,21
23,23.0,ADAMS,WAYMART,Showing search results: 3 records,3
24,24.0,ALLEGHENY,ALBION,Showing search results: 330 records,330
25,25.0,ALLEGHENY,BENNER TOWNSHIP,Showing search results: 84 records,84
26,26.0,ALLEGHENY,CAMBRIDGE SPRINGS,Showing search results: 53 records,53
27,27.0,ALLEGHENY,CAMP HILL,Showing search results: 81 records,81
28,28.0,ALLEGHENY,CHESTER,Showing search results: 23 records,23
29,29.0,ALLEGHENY,COAL TOWNSHIP,Showing search results: 45 records,45
30,30.0,ALLEGHENY,DALLAS,Showing search results: 34 records,34
31,31.0,ALLEGHENY,FAYETTE,Showing search results: 386 records,386
32,32.0,ALLEGHENY,FOREST,Showing search results: 178 records,178
33,33.0,ALLEGHENY,FRACKVILLE,Showing search results: 25 records,25
34,34.0,ALLEGHENY,GREENE,Showing search results: 305 records,305
35,35.0,ALLEGHENY,HOUTZDALE,Showing search results: 129 records,129
36,36.0,ALLEGHENY,HUNTINGDON,Showing search results: 95 records,95
37,37.0,ALLEGHENY,LAUREL HIGHLANDS,Showing search results: 42 records,42
38,38.0,ALLEGHENY,MAHANOY,Showing search results: 45 records,45
39,39.0,ALLEGHENY,MERCER,Showing search results: 160 records,160
40,40.0,ALLEGHENY,MUNCY,Showing search results: 33 records,33
41,41.0,ALLEGHENY,PHOENIX,Showing search results: 71 records,71
42,42.0,ALLEGHENY,PINE GROVE,Showing search results: 131 records,131
43,43.0,ALLEGHENY,QUEHANNA BOOT CAMP,Showing search results: 14 records,14
44,44.0,ALLEGHENY,ROCKVIEW,Showing search results: 55 records,55
45,45.0,ALLEGHENY,SMITHFIELD,Showing search results: 50 records,50
46,46.0,ALLEGHENY,SOMERSET,Showing search results: 230 records,230
47,47.0,ALLEGHENY,WAYMART,Showing search results: 38 records,38
48,48.0,ARMSTRONG,ALBION,Showing search results: 17 records,17
