,county,location,count_text,incarcerated_persons,proportion_by_sci,Total Death Rate,date,HCRF
0,Adams,ALBION,Showing search results: 11 records,11,0.005203405865657522,150.47,2021-03-08,182.4374408703879
1,Adams,BENNER TOWNSHIP,Showing search results: 16 records,16,0.0081799591002045,150.47,2021-03-08,194.38251022494887
2,Adams,CAMBRIDGE SPRINGS,Showing search results: 7 records,7,0.008027522935779817,150.47,2021-03-08,194.4856766055046
3,Adams,CAMP HILL,Showing search results: 36 records,36,0.018163471241170535,150.47,2021-03-08,194.85490413723514
4,Adams,CHESTER,Showing search results: 15 records,15,0.014749262536873156,150.47,2021-03-08,197.31737463126842
5,Adams,COAL TOWNSHIP,Showing search results: 16 records,16,0.007681228996639462,150.47,2021-03-08,197.85577532405182
6,Adams,DALLAS,Showing search results: 4 records,4,0.0025591810620601407,150.47,2021-03-08,198.31900191938578
7,Adams,FAYETTE,Showing search results: 11 records,11,0.0056410256410256415,150.47,2021-03-08,185.0471076923077
8,Adams,FOREST,Showing search results: 9 records,9,0.004008908685968819,150.47,2021-03-08,190.62502004454345
9,Adams,FRACKVILLE,Showing search results: 7 records,7,0.006363636363636364,150.47,2021-03-08,196.2640818181818
10,Adams,GREENE,Showing search results: 5 records,5,0.0028885037550548816,150.47,2021-03-08,185.38624494511842
11,Adams,HOUTZDALE,Showing search results: 17 records,17,0.00715187210769878,150.47,2021-03-08,194.90493899873792
12,Adams,HUNTINGDON,Showing search results: 22 records,22,0.012408347433728144,150.47,2021-03-08,195.1222109419064
13,Adams,LAUREL HIGHLANDS,Showing search results: 7 records,7,0.009055627425614488,150.47,2021-03-08,193.5459508408797
14,Adams,MAHANOY,Showing search results: 16 records,16,0.00730260155180283,150.47,2021-03-08,200.87183934276587
15,Adams,MERCER,Showing search results: 5 records,5,0.004699248120300752,150.47,2021-03-08,186.37066729323308
16,Adams,MUNCY,Showing search results: 10 records,10,0.009354536950420954,150.47,2021-03-08,195.63550046772687
17,Adams,PHOENIX,Showing search results: 19 records,19,0.006346025384101536,150.47,2021-03-08,197.1000601202405
18,Adams,PINE GROVE,Showing search results: 8 records,8,0.008547008547008548,150.47,2021-03-08,190.977702991453
19,Adams,QUEHANNA BOOT CAMP,Showing search results: 2 records,2,0.007380073800738007,150.47,2021-03-08,197.30118081180814
20,Adams,ROCKVIEW,Showing search results: 8 records,8,0.0053226879574184965,150.47,2021-03-08,196.51714570858283
21,Adams,SMITHFIELD,Showing search results: 7 records,7,0.0068694798822374874,150.47,2021-03-08,194.1576054955839
22,Adams,SOMERSET,Showing search results: 21 records,21,0.009831460674157303,150.47,2021-03-08,191.95955992509363
23,Adams,WAYMART,Showing search results: 3 records,3,0.0035335689045936395,150.47,2021-03-08,193.53401648998823
24,Allegheny,ALBION,Showing search results: 330 records,330,0.15610217596972564,144.9,2021-03-08,182.4374408703879
25,Allegheny,BENNER TOWNSHIP,Showing search results: 84 records,84,0.04294478527607362,144.9,2021-03-08,194.38251022494887
26,Allegheny,CAMBRIDGE SPRINGS,Showing search results: 53 records,53,0.06077981651376147,144.9,2021-03-08,194.4856766055046
27,Allegheny,CAMP HILL,Showing search results: 81 records,81,0.040867810292633706,144.9,2021-03-08,194.85490413723514
28,Allegheny,CHESTER,Showing search results: 23 records,23,0.02261553588987217,144.9,2021-03-08,197.31737463126842
29,Allegheny,COAL TOWNSHIP,Showing search results: 45 records,45,0.02160345655304849,144.9,2021-03-08,197.85577532405182
30,Allegheny,DALLAS,Showing search results: 34 records,34,0.021753039027511197,144.9,2021-03-08,198.31900191938578
31,Allegheny,FAYETTE,Showing search results: 386 records,386,0.19794871794871796,144.9,2021-03-08,185.0471076923077
32,Allegheny,FOREST,Showing search results: 178 records,178,0.07928730512249443,144.9,2021-03-08,190.62502004454345
33,Allegheny,FRACKVILLE,Showing search results: 25 records,25,0.022727272727272728,144.9,2021-03-08,196.2640818181818
34,Allegheny,GREENE,Showing search results: 305 records,305,0.17619872905834777,144.9,2021-03-08,185.38624494511842
35,Allegheny,HOUTZDALE,Showing search results: 129 records,129,0.05427008834665545,144.9,2021-03-08,194.90493899873792
36,Allegheny,HUNTINGDON,Showing search results: 95 records,95,0.05358150028200789,144.9,2021-03-08,195.1222109419064
37,Allegheny,LAUREL HIGHLANDS,Showing search results: 42 records,42,0.054333764553686936,144.9,2021-03-08,193.5459508408797
38,Allegheny,MAHANOY,Showing search results: 45 records,45,0.020538566864445457,144.9,2021-03-08,200.87183934276587
39,Allegheny,MERCER,Showing search results: 160 records,160,0.15037593984962405,144.9,2021-03-08,186.37066729323308
40,Allegheny,MUNCY,Showing search results: 33 records,33,0.03086997193638915,144.9,2021-03-08,195.63550046772687
41,Allegheny,PHOENIX,Showing search results: 71 records,71,0.023714094856379427,144.9,2021-03-08,197.1000601202405
42,Allegheny,PINE GROVE,Showing search results: 131 records,131,0.13995726495726496,144.9,2021-03-08,190.977702991453
43,Allegheny,QUEHANNA BOOT CAMP,Showing search results: 14 records,14,0.05166051660516605,144.9,2021-03-08,197.30118081180814
44,Allegheny,ROCKVIEW,Showing search results: 55 records,55,0.036593479707252165,144.9,2021-03-08,196.51714570858283
45,Allegheny,SMITHFIELD,Showing search results: 50 records,50,0.04906771344455348,144.9,2021-03-08,194.1576054955839
46,Allegheny,SOMERSET,Showing search results: 230 records,230,0.10767790262172285,144.9,2021-03-08,191.95955992509363
47,Allegheny,WAYMART,Showing search results: 38 records,38,0.0447585394581861,144.9,2021-03-08,193.53401648998823
48,Armstrong,ALBION,Showing search results: 17 records,17,0.00804162724692526,179.19,2021-03-08,182.4374408703879
49,Armstrong,BENNER TOWNSHIP,Showing search results: 2 records,2,0.0010224948875255625,179.19,2021-03-08,194.38251022494887
50,Armstrong,CAMBRIDGE SPRINGS,Showing search results: 5 records,5,0.005733944954128441,179.19,2021-03-08,194.4856766055046
51,Armstrong,CAMP HILL,Showing search results: 4 records,4,0.0020181634712411706,179.19,2021-03-08,194.85490413723514
52,Armstrong,CHESTER,Showing search results: 4 records,4,0.003933136676499509,179.19,2021-03-08,197.31737463126842
53,Armstrong,COAL TOWNSHIP,Showing search results: 1 records,1,0.00048007681228996637,179.19,2021-03-08,197.85577532405182
54,Armstrong,DALLAS,Showing search results: no results found,0,0.0,179.19,2021-03-08,198.31900191938578
55,Armstrong,FAYETTE,Showing search results: 9 records,9,0.004615384615384616,179.19,2021-03-08,185.0471076923077
56,Armstrong,FOREST,Showing search results: 10 records,10,0.004454342984409799,179.19,2021-03-08,190.62502004454345
57,Armstrong,FRACKVILLE,Showing search results: 1 records,1,0.0009090909090909091,179.19,2021-03-08,196.2640818181818
58,Armstrong,GREENE,Showing search results: 10 records,10,0.005777007510109763,179.19,2021-03-08,185.38624494511842
59,Armstrong,HOUTZDALE,Showing search results: 6 records,6,0.002524190155658393,179.19,2021-03-08,194.90493899873792
60,Armstrong,HUNTINGDON,Showing search results: 3 records,3,0.001692047377326565,179.19,2021-03-08,195.1222109419064
61,Armstrong,LAUREL HIGHLANDS,Showing search results: 2 records,2,0.00258732212160414,179.19,2021-03-08,193.5459508408797
62,Armstrong,MAHANOY,Showing search results: 1 records,1,0.00045641259698767686,179.19,2021-03-08,200.87183934276587
63,Armstrong,MERCER,Showing search results: 16 records,16,0.015037593984962405,179.19,2021-03-08,186.37066729323308
64,Armstrong,MUNCY,Showing search results: 6 records,6,0.005612722170252572,179.19,2021-03-08,195.63550046772687
65,Armstrong,PHOENIX,Showing search results: 1 records,1,0.00033400133600534405,179.19,2021-03-08,197.1000601202405
66,Armstrong,PINE GROVE,Showing search results: 6 records,6,0.00641025641025641,179.19,2021-03-08,190.977702991453
67,Armstrong,QUEHANNA BOOT CAMP,Showing search results: 3 records,3,0.01107011070110701,179.19,2021-03-08,197.30118081180814
68,Armstrong,ROCKVIEW,Showing search results: 1 records,1,0.0006653359946773121,179.19,2021-03-08,196.51714570858283
69,Armstrong,SMITHFIELD,Showing search results: no results found,0,0.0,179.19,2021-03-08,194.1576054955839
70,Armstrong,SOMERSET,Showing search results: 5 records,5,0.0023408239700374533,179.19,2021-03-08,191.95955992509363
71,Armstrong,WAYMART,Showing search results: 1 records,1,0.001177856301531213,179.19,2021-03-08,193.53401648998823
72,Beaver,ALBION,Showing search results: 41 records,41,0.019394512771996216,214.73,2021-03-08,182.4374408703879
73,Beaver,BENNER TOWNSHIP,Showing search results: 6 records,6,0.003067484662576687,214.73,2021-03-08,194.38251022494887
74,Beaver,CAMBRIDGE SPRINGS,Showing search results: 6 records,6,0.006880733944954129,214.73,2021-03-08,194.4856766055046
75,Beaver,CAMP HILL,Showing search results: 15 records,15,0.0075681130171543895,214.73,2021-03-08,194.85490413723514
76,Beaver,CHESTER,Showing search results: 3 records,3,0.0029498525073746312,214.73,2021-03-08,197.31737463126842
77,Beaver,COAL TOWNSHIP,Showing search results: 5 records,5,0.002400384061449832,214.73,2021-03-08,197.85577532405182
78,Beaver,DALLAS,Showing search results: 4 records,4,0.0025591810620601407,214.73,2021-03-08,198.31900191938578
79,Beaver,FAYETTE,Showing search results: 26 records,26,0.013333333333333334,214.73,2021-03-08,185.0471076923077
80,Beaver,FOREST,Showing search results: 24 records,24,0.010690423162583519,214.73,2021-03-08,190.62502004454345
81,Beaver,FRACKVILLE,Showing search results: 1 records,1,0.0009090909090909091,214.73,2021-03-08,196.2640818181818
82,Beaver,GREENE,Showing search results: 29 records,29,0.016753321779318313,214.73,2021-03-08,185.38624494511842
83,Beaver,HOUTZDALE,Showing search results: 14 records,14,0.005889777029869584,214.73,2021-03-08,194.90493899873792
