,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
2,Albion,238,220,2,6,0,2021-03-08
3,Benner Township,4,2,6,3,0,2021-03-08
4,Cambridge Springs,0,0,1,3,0,2021-03-08
5,Camp Hill,347,337,3,34,1,2021-03-08
6,Chester,2,2,10,4,0,2021-03-08
7,Coal Township,5,5,1,13,0,2021-03-08
8,Dallas,0,0,9,6,0,2021-03-08
9,Fayette,19,18,3,3,1,2021-03-08
10,Forest,6,4,4,0,0,2021-03-08
11,Frackville,1,1,0,1,0,2021-03-08
12,Greene,3,3,1,1,0,2021-03-08
13,Houtzdale,2,2,2,4,1,2021-03-08
14,Huntingdon,129,122,8,6,0,2021-03-08
15,Laurel Highlands,1,1,11,1,0,2021-03-08
16,Mahanoy,7,1,4,5,0,2021-03-08
17,Mercer,88,81,4,1,0,2021-03-08
18,Muncy,6,6,1,2,0,2021-03-08
19,Phoenix,3,2,13,10,0,2021-03-08
20,Pine Grove,0,0,1,2,0,2021-03-08
21,Quehanna BC,1,1,0,0,0,2021-03-08
22,Rockview,3,2,1,0,0,2021-03-08
23,Smithfield,26,26,6,1,1,2021-03-08
24,Somerset,5,4,4,10,0,2021-03-08
25,Waymart,3,0,16,9,0,2021-03-08
2,Albion,24,6,2,9,0,2021-03-05
3,Benner Township,4,2,6,2,0,2021-03-05
4,Cambridge Springs,0,0,1,5,0,2021-03-05
5,Camp Hill,353,344,3,36,1,2021-03-05
6,Chester,2,2,10,4,0,2021-03-05
7,Coal Township,4,4,0,12,0,2021-03-05
8,Dallas,0,0,9,8,0,2021-03-05
9,Fayette,17,16,3,4,1,2021-03-05
10,Forest,6,3,4,2,0,2021-03-05
11,Frackville,1,1,0,1,0,2021-03-05
12,Greene,3,3,1,1,0,2021-03-05
13,Houtzdale,1,1,2,5,1,2021-03-05
14,Huntingdon,48,47,8,5,0,2021-03-05
15,Laurel Highlands,1,1,11,1,0,2021-03-05
16,Mahanoy,7,1,4,5,0,2021-03-05
17,Mercer,86,79,4,1,0,2021-03-05
18,Muncy,3,3,1,1,0,2021-03-05
19,Phoenix,4,3,13,12,0,2021-03-05
20,Pine Grove,0,0,1,2,0,2021-03-05
21,Quehanna BC,0,0,0,0,0,2021-03-05
22,Rockview,4,3,1,2,0,2021-03-05
23,Smithfield,19,19,6,1,1,2021-03-05
24,Somerset,4,3,4,11,0,2021-03-05
25,Waymart,4,0,16,10,0,2021-03-05
2,Albion,153,82,2,31,0,2021-02-01
3,Benner Township,22,9,5,7,0,2021-02-01
4,Cambridge Springs,2,1,1,5,0,2021-02-01
5,Camp Hill,9,8,3,28,1,2021-02-01
6,Chester,4,4,10,8,0,2021-02-01
7,Coal Township,10,6,0,40,0,2021-02-01
8,Dallas,3,2,9,20,0,2021-02-01
9,Fayette,8,7,2,11,1,2021-02-01
10,Forest,100,83,4,16,0,2021-02-01
11,Frackville,4,3,0,5,0,2021-02-01
12,Greene,13,13,1,6,0,2021-02-01
13,Houtzdale,25,6,1,7,1,2021-02-01
14,Huntingdon,7,4,7,11,0,2021-02-01
15,Laurel Highlands,9,9,11,9,0,2021-02-01
16,Mahanoy,17,0,4,6,0,2021-02-01
17,Mercer,4,3,4,3,0,2021-02-01
18,Muncy,18,14,1,5,0,2021-02-01
19,Phoenix,20,11,12,35,0,2021-02-01
20,Pine Grove,0,0,1,5,0,2021-02-01
21,Quehanna BC,15,0,0,2,0,2021-02-01
22,Rockview,3,3,1,1,0,2021-02-01
23,Smithfield,86,84,6,6,1,2021-02-01
24,Somerset,0,0,4,6,0,2021-02-01
25,Waymart,176,155,7,21,0,2021-02-01
2,Albion,43,25,2,12,0,2021-02-18
3,Benner Township,10,7,6,4,0,2021-02-18
4,Cambridge Springs,0,0,1,2,0,2021-02-18
5,Camp Hill,21,12,3,30,1,2021-02-18
6,Chester,1,0,10,7,0,2021-02-18
7,Coal Township,162,155,0,22,0,2021-02-18
8,Dallas,0,0,9,9,0,2021-02-18
9,Fayette,16,14,2,12,1,2021-02-18
10,Forest,15,11,4,6,0,2021-02-18
11,Frackville,3,2,0,3,0,2021-02-18
12,Greene,1,1,1,2,0,2021-02-18
13,Houtzdale,4,3,2,8,1,2021-02-18
14,Huntingdon,3,2,7,3,0,2021-02-18
15,Laurel Highlands,0,0,11,1,0,2021-02-18
16,Mahanoy,8,2,4,7,0,2021-02-18
17,Mercer,1,1,4,2,0,2021-02-18
18,Muncy,9,7,1,3,0,2021-02-18
19,Phoenix,7,4,12,13,0,2021-02-18
20,Pine Grove,1,1,1,2,0,2021-02-18
21,Quehanna BC,0,0,0,1,0,2021-02-18
22,Rockview,2,1,1,3,0,2021-02-18
23,Smithfield,103,103,6,2,1,2021-02-18
24,Somerset,0,0,4,5,0,2021-02-18
25,Waymart,86,65,12,19,0,2021-02-18
2,Albion,93,49,2,17,0,2021-02-08
3,Benner Township,12,3,6,4,0,2021-02-08
4,Cambridge Springs,4,3,1,4,0,2021-02-08
5,Camp Hill,9,7,3,21,1,2021-02-08
6,Chester,2,1,10,6,0,2021-02-08
7,Coal Township,23,12,0,41,0,2021-02-08
8,Dallas,1,1,9,19,0,2021-02-08
9,Fayette,8,6,2,22,1,2021-02-08
10,Forest,15,7,4,5,0,2021-02-08
11,Frackville,6,5,0,6,0,2021-02-08
12,Greene,6,6,1,6,0,2021-02-08
13,Houtzdale,18,7,1,6,1,2021-02-08
14,Huntingdon,5,3,7,4,0,2021-02-08
15,Laurel Highlands,0,0,11,9,0,2021-02-08
16,Mahanoy,17,1,4,8,0,2021-02-08
17,Mercer,3,2,4,3,0,2021-02-08
18,Muncy,11,10,1,4,0,2021-02-08
19,Phoenix,17,11,12,25,0,2021-02-08
20,Pine Grove,2,2,1,3,0,2021-02-08
21,Quehanna BC,3,0,0,0,0,2021-02-08
22,Rockview,1,1,1,1,0,2021-02-08
23,Smithfield,89,87,6,4,1,2021-02-08
