date,SCI,incarcerated_person_positive
2020-03-28,Albion,0
2020-03-31,Albion,0
2020-04-03,Albion,0
2020-04-04,Albion,0
2020-04-07,Albion,0
2020-04-08,Albion,0
2020-04-09,Albion,0
2020-04-11,Albion,0
2020-04-14,Albion,0
2020-04-15,Albion,0
2020-04-16,Albion,0
2020-04-17,Albion,0
2020-04-18,Albion,0
2020-04-21,Albion,0
2020-04-23,Albion,0
2020-04-24,Albion,0
2020-04-25,Albion,0
2020-04-28,Albion,0
2020-04-29,Albion,0
2020-04-30,Albion,0
2020-05-01,Albion,0
2020-05-02,Albion,0
2020-05-04,Albion,0
2020-05-05,Albion,0
2020-05-06,Albion,0
2020-05-07,Albion,0
2020-05-08,Albion,0
2020-05-11,Albion,0
2020-05-12,Albion,0
2020-05-13,Albion,0
2020-05-14,Albion,0
2020-05-15,Albion,0
2020-05-16,Albion,0
2020-05-19,Albion,0
2020-05-20,Albion,0
2020-05-21,Albion,0
2020-05-22,Albion,0
2020-05-23,Albion,0
2020-05-25,Albion,0
2020-05-27,Albion,0
2020-05-29,Albion,0
2020-05-30,Albion,0
2020-06-02,Albion,0
2020-06-03,Albion,0
2020-06-06,Albion,0
2020-06-10,Albion,0
2020-06-12,Albion,0
2020-06-16,Albion,0
2020-06-22,Albion,0
2020-06-25,Albion,0
2020-06-26,Albion,0
2020-06-30,Albion,0
2020-07-01,Albion,0
2020-07-02,Albion,1
2020-07-03,Albion,0
2020-07-08,Albion,0
2020-07-09,Albion,2
2020-07-10,Albion,0
2020-07-11,Albion,0
2020-07-14,Albion,0
2020-07-17,Albion,0
2020-07-23,Albion,0
2020-07-24,Albion,1
2020-07-25,Albion,0
2020-07-29,Albion,0
2020-07-30,Albion,0
2020-08-06,Albion,0
2020-08-07,Albion,0
2020-08-09,Albion,0
2020-08-11,Albion,0
2020-08-14,Albion,0
2020-08-15,Albion,0
2020-08-18,Albion,0
2020-08-19,Albion,0
2020-08-20,Albion,0
2020-08-21,Albion,0
2020-08-25,Albion,0
2020-08-26,Albion,0
2020-08-27,Albion,0
2020-08-28,Albion,0
2020-08-29,Albion,1
2020-08-31,Albion,0
2020-09-01,Albion,0
2020-09-02,Albion,0
2020-09-03,Albion,0
2020-09-04,Albion,0
2020-09-05,Albion,0
2020-09-08,Albion,0
2020-09-09,Albion,0
2020-09-11,Albion,0
2020-09-15,Albion,0
2020-09-16,Albion,0
2020-09-18,Albion,0
2020-09-19,Albion,0
2020-09-23,Albion,0
2020-09-24,Albion,0
2020-09-25,Albion,0
2020-09-26,Albion,0
2020-09-28,Albion,0
2020-09-29,Albion,1
2020-09-30,Albion,0
2020-10-01,Albion,0
2020-10-02,Albion,0
2020-10-03,Albion,0
2020-10-06,Albion,0
2020-10-07,Albion,0
2020-10-08,Albion,0
2020-10-09,Albion,0
2020-10-10,Albion,0
2020-10-11,Albion,0
2020-10-13,Albion,0
2020-10-14,Albion,0
2020-10-15,Albion,0
2020-10-16,Albion,0
2020-10-17,Albion,0
2020-10-19,Albion,0
2020-10-20,Albion,0
2020-10-21,Albion,0
2020-10-22,Albion,0
2020-10-23,Albion,0
2020-10-24,Albion,0
2020-10-25,Albion,0
2020-10-26,Albion,0
2020-10-27,Albion,0
2020-10-28,Albion,0
2020-10-29,Albion,0
2020-10-30,Albion,0
2020-10-31,Albion,0
2020-11-01,Albion,0
2020-11-02,Albion,0
2020-11-03,Albion,0
2020-11-04,Albion,0
2020-11-05,Albion,0
2020-11-06,Albion,0
2020-11-07,Albion,0
2020-11-08,Albion,0
2020-11-09,Albion,0
2020-11-10,Albion,0
2020-11-11,Albion,0
2020-11-12,Albion,0
2020-11-13,Albion,2
2020-11-14,Albion,0
2020-11-15,Albion,0
2020-11-16,Albion,0
2020-11-17,Albion,0
2020-11-18,Albion,0
2020-11-19,Albion,1
2020-11-20,Albion,0
2020-11-21,Albion,0
2020-11-22,Albion,0
2020-11-23,Albion,0
2020-11-24,Albion,1
2020-11-25,Albion,0
2020-11-27,Albion,0
2020-11-28,Albion,0
2020-11-29,Albion,0
2020-11-30,Albion,0
2020-12-01,Albion,0
2020-12-02,Albion,0
2020-12-03,Albion,0
2020-12-04,Albion,0
2020-12-05,Albion,0
2020-12-06,Albion,0
2020-12-07,Albion,0
2020-12-08,Albion,0
2020-12-09,Albion,0
2020-12-10,Albion,0
2020-12-11,Albion,0
2020-12-12,Albion,0
2020-12-13,Albion,0
2020-12-14,Albion,0
2020-12-15,Albion,0
2020-12-16,Albion,0
2020-12-17,Albion,0
2020-12-18,Albion,0
2020-12-19,Albion,0
2020-12-20,Albion,0
2020-12-21,Albion,0
2020-12-22,Albion,0
2020-12-23,Albion,0
2020-12-24,Albion,0
2020-12-25,Albion,0
2020-12-26,Albion,0
2020-12-27,Albion,0
2020-12-28,Albion,0
2020-12-29,Albion,0
2020-12-30,Albion,0
2020-12-31,Albion,0
2021-01-01,Albion,0
2021-01-02,Albion,0
2021-01-03,Albion,0
2021-01-04,Albion,2
2021-01-05,Albion,3
2021-01-06,Albion,85
2021-01-07,Albion,3
2021-01-08,Albion,38
2021-01-09,Albion,28
2021-01-11,Albion,11
2021-01-12,Albion,4
2021-01-13,Albion,6
2021-01-14,Albion,11
2021-01-15,Albion,4
2021-01-16,Albion,12
2021-01-17,Albion,5
2021-01-18,Albion,8
2021-01-19,Albion,14
2021-01-20,Albion,11
2021-01-21,Albion,12
2021-01-22,Albion,12
2021-01-23,Albion,14
2021-01-24,Albion,6
2021-01-25,Albion,7
2021-01-26,Albion,10
2021-01-27,Albion,8
2021-01-28,Albion,12
2021-01-29,Albion,46
2021-01-30,Albion,12
2021-01-31,Albion,0
2021-02-01,Albion,0
2021-02-02,Albion,0
2021-02-03,Albion,7
2021-02-04,Albion,0
2021-02-05,Albion,7
2021-02-06,Albion,2
2021-02-08,Albion,9
2021-02-09,Albion,6
2021-02-10,Albion,2
2021-02-11,Albion,4
2021-02-12,Albion,3
2021-02-13,Albion,6
2021-02-14,Albion,1
2021-02-15,Albion,2
2021-02-16,Albion,1
2021-02-17,Albion,3
2021-02-18,Albion,4
2021-02-19,Albion,5
2021-02-20,Albion,6
2021-02-22,Albion,1
2021-02-23,Albion,1
2021-02-24,Albion,2
2021-02-25,Albion,2
2021-02-26,Albion,3
2021-02-27,Albion,1
2021-02-28,Albion,0
2021-03-01,Albion,0
2021-03-02,Albion,4
2021-03-03,Albion,2
2021-03-04,Albion,0
2021-03-05,Albion,7
2021-03-06,Albion,134
2021-03-07,Albion,72
2021-03-08,Albion,4
2021-03-09,Albion,0
2021-03-10,Albion,4
2021-03-11,Albion,1
2021-03-12,Albion,1
2021-03-13,Albion,1
2021-03-15,Albion,0
2021-03-16,Albion,1
2021-03-17,Albion,1
2021-03-18,Albion,2
2021-03-19,Albion,0
2021-03-20,Albion,0
2021-03-21,Albion,0
2021-03-22,Albion,1
2021-03-23,Albion,2
2021-03-24,Albion,0
2021-03-25,Albion,3
2021-03-26,Albion,0
2021-03-27,Albion,1
2021-03-29,Albion,0
2021-03-30,Albion,1
2021-03-31,Albion,2
2021-04-01,Albion,0
2021-04-02,Albion,0
2021-04-03,Albion,0
2021-04-05,Albion,1
2021-04-07,Albion,0
2021-04-08,Albion,0
2021-04-09,Albion,0
2021-04-10,Albion,0
2021-04-12,Albion,0
2021-04-13,Albion,1
2021-04-14,Albion,0
2021-04-15,Albion,0
2021-04-16,Albion,0
2021-04-17,Albion,0
2021-04-20,Albion,0
2021-04-21,Albion,0
2021-04-22,Albion,0
2021-04-23,Albion,0
2021-04-24,Albion,3
2021-04-25,Albion,0
2021-04-26,Albion,0
2021-04-27,Albion,0
2021-04-28,Albion,0
2021-04-29,Albion,0
2021-04-30,Albion,1
2021-05-01,Albion,1
2021-05-02,Albion,0
2021-05-04,Albion,0
2021-05-05,Albion,0
2021-05-06,Albion,1
2021-05-07,Albion,0
2021-05-08,Albion,0
2021-05-10,Albion,0
2021-05-11,Albion,0
2021-05-12,Albion,0
2021-05-13,Albion,0
2021-05-14,Albion,0
2021-05-15,Albion,0
2021-05-18,Albion,0
2021-05-19,Albion,0
2021-05-20,Albion,1
2021-05-21,Albion,0
2021-05-22,Albion,0
2021-05-23,Albion,0
2021-05-25,Albion,0
2021-05-26,Albion,0
2021-05-27,Albion,0
2021-05-28,Albion,0
2021-05-31,Albion,0
2021-06-01,Albion,0
2021-06-02,Albion,0
2021-06-03,Albion,1
2021-06-04,Albion,0
2021-06-05,Albion,0
2021-06-06,Albion,0
2021-06-08,Albion,0
2021-06-09,Albion,0
2021-06-10,Albion,0
2021-06-11,Albion,1
2021-06-14,Albion,0
2021-06-15,Albion,0
2021-06-16,Albion,0
2021-06-17,Albion,0
2021-06-18,Albion,0
2021-06-20,Albion,0
2021-06-21,Albion,0
