,content,sci,date
0,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 468 (73.01%)NEGATIVE 468 (73.01%)10 (1.5…)POSITIVE 10 (1.56%)PENDING 157 (24.49%)PENDING 157 (24.49%)RECOVERED 6 (0.94%)RECOVERED 6 (0.94%)POSITIVEPOSITIVE 10 (1.56%)', '', '', '', '', '', 'NEGATIVE 468 (73.01%)NEGATIVE 468 (73.01%)', 'NEGATIVE 468 (73.01%)', '10 (1.5…)POSITIVE 10 (1.56%)', 'POSITIVE 10 (1.56%)', 'PENDING 157 (24.49%)PENDING 157 (24.49%)', 'PENDING 157 (24.49%)', 'RECOVERED 6 (0.94%)RECOVERED 6 (0.94%)', 'RECOVERED 6 (0.94%)', 'POSITIVEPOSITIVE 10 (1.56%)', 'POSITIVE 10 (1.56%)']",ALBION,12/6/2020
1,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 389 (68.97%)NEGATIVE 389 (68.97%)56 (9.93…)POSITIVE 56 (9.93%)PENDING 111 (19.68%)PENDING 111 (19.68%)7 (1.24%)RECOVERED 7 (1.24%)POSITIVEPOSITIVE 56 (9.93%)1 (0.18%)RECOVEREDRECOVERED 7 (1.24%)DEATH', '', '', '', '', '', '', 'NEGATIVE 389 (68.97%)NEGATIVE 389 (68.97%)', 'NEGATIVE 389 (68.97%)', '56 (9.93…)POSITIVE 56 (9.93%)', 'POSITIVE 56 (9.93%)', 'PENDING 111 (19.68%)PENDING 111 (19.68%)', 'PENDING 111 (19.68%)', '7 (1.24%)RECOVERED 7 (1.24%)', 'RECOVERED 7 (1.24%)', 'POSITIVEPOSITIVE 56 (9.93%)', 'POSITIVE 56 (9.93%)', '1 (0.18%)', '', 'RECOVEREDRECOVERED 7 (1.24%)', 'RECOVERED 7 (1.24%)', 'DEATH', '']",BENNER TOWNSHIP,12/6/2020
2,"['', '', '', '', '', '', '', '', '', 'NEGATIVE 556 (82.13%)NEGATIVE 556 (82.13%)28 (4.14%)POSITIVE 28 (4.14%)PENDING 89 (13.15%)PENDING 89 (13.15%)RECOVERED 4 (0.59%)RECOVERED 4 (0.59%)POSITIVEPOSITIVE 28 (4.14%)', '', '', '', '', '', 'NEGATIVE 556 (82.13%)NEGATIVE 556 (82.13%)', 'NEGATIVE 556 (82.13%)', '28 (4.14%)POSITIVE 28 (4.14%)', 'POSITIVE 28 (4.14%)', 'PENDING 89 (13.15%)PENDING 89 (13.15%)', 'PENDING 89 (13.15%)', 'RECOVERED 4 (0.59%)RECOVERED 4 (0.59%)', 'RECOVERED 4 (0.59%)', 'POSITIVEPOSITIVE 28 (4.14%)', 'POSITIVE 28 (4.14%)']",CAMBRIDGE SPRINGS,12/6/2020
3,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 4,383 (59.27%)NEGATIVE 4,383 (59.27%)POSITIVE 115 (1.56%)POSITIVE 115 (1.56%)PENDING 2,819 (38.12%)PENDING 2,819 (38.12%)RECOVERED 77 (1.04%)RECOVERED 77 (1.04%)1 (0.01%)DEATH', '', '', '', '', '', '', 'NEGATIVE 4,383 (59.27%)NEGATIVE 4,383 (59.27%)', 'NEGATIVE 4,383 (59.27%)', 'POSITIVE 115 (1.56%)POSITIVE 115 (1.56%)', 'POSITIVE 115 (1.56%)', 'PENDING 2,819 (38.12%)PENDING 2,819 (38.12%)', 'PENDING 2,819 (38.12%)', 'RECOVERED 77 (1.04%)RECOVERED 77 (1.04%)', 'RECOVERED 77 (1.04%)', '1 (0.01%)', '', 'DEATH', '']",CAMP HILL,12/6/2020
4,"['', '', '', '', '', '', '']",CENTRAL OFFICE,12/6/2020
5,"['', '', '', '', '', '', '', '', '', '', 'NEGATIVE 720 (60.05%)NEGATIVE 720 (60.05%)165 (13.76%)POSITIVE 165 (13.76%)183 (15.26%)PENDING 183 (15.26%)RECOVERED 127 (10.59%)RECOVERED 127 (10.59%)4 (0.33%)DEATH 4 (0.33%)POSITIVEPOSITIVE 165 (13.76%)PENDINGPENDING 183 (15.26%)DEATHDEATH 4 (0.33%)', '', '', '', '', '', '', 'NEGATIVE 720 (60.05%)NEGATIVE 720 (60.05%)', 'NEGATIVE 720 (60.05%)', '165 (13.76%)POSITIVE 165 (13.76%)', 'POSITIVE 165 (13.76%)', '183 (15.26%)PENDING 183 (15.26%)', 'PENDING 183 (15.26%)', 'RECOVERED 127 (10.59%)RECOVERED 127 (10.59%)', 'RECOVERED 127 (10.59%)', '4 (0.33%)DEATH 4 (0.33%)', 'DEATH 4 (0.33%)', 'POSITIVEPOSITIVE 165 (13.76%)', 'POSITIVE 165 (13.76%)', 'PENDINGPENDING 183 (15.26%)', 'PENDING 183 (15.26%)', 'DEATHDEATH 4 (0.33%)', 'DEATH 4 (0.33%)']",CHESTER,12/6/2020
6,"['', '', '', '', '', '', '', '', '', '2,687 (53.27%)NEGATIVE 2,687 (53.27%)POSITIVE 182 (3.61%)POSITIVE 182 (3.61%)2,031 (40.27%)PENDING 2,031 (40.27%)RECOVERED 144 (2.85%)RECOVERED 144 (2.85%)NEGATIVENEGATIVE 2,687 (53.27%)PENDINGPENDING 2,031 (40.27%)', '', '', '', '', '', '2,687 (53.27%)NEGATIVE 2,687 (53.27%)', 'NEGATIVE 2,687 (53.27%)', 'POSITIVE 182 (3.61%)POSITIVE 182 (3.61%)', 'POSITIVE 182 (3.61%)', '2,031 (40.27%)PENDING 2,031 (40.27%)', 'PENDING 2,031 (40.27%)', 'RECOVERED 144 (2.85%)RECOVERED 144 (2.85%)', 'RECOVERED 144 (2.85%)', 'NEGATIVENEGATIVE 2,687 (53.27%)', 'NEGATIVE 2,687 (53.27%)', 'PENDINGPENDING 2,031 (40.27%)', 'PENDING 2,031 (40.27%)']",COAL TOWNSHIP,12/6/2020
7,"['', '', '', '', '', '', '', '', '', '', '', 'NEGATIVE 554 (53.63%)NEGATIVE 554 (53.63%)POSITIVE 222 (21.49%)POSITIVE 222 (21.49%)187 (18.1%)PENDING 187 (18.1%)RECOVERED 64 (6.2%)RECOVERED 64 (6.2%)PENDINGPENDING 187 (18.1%)6 (0.58%)DEATH', '', '', '', '', '', '', 'NEGATIVE 554 (53.63%)NEGATIVE 554 (53.63%)', 'NEGATIVE 554 (53.63%)', 'POSITIVE 222 (21.49%)POSITIVE 222 (21.49%)', 'POSITIVE 222 (21.49%)', '187 (18.1%)PENDING 187 (18.1%)', 'PENDING 187 (18.1%)', 'RECOVERED 64 (6.2%)RECOVERED 64 (6.2%)', 'RECOVERED 64 (6.2%)', 'PENDINGPENDING 187 (18.1%)', 'PENDING 187 (18.1%)', '6 (0.58%)', '', 'DEATH', '']",DALLAS,12/6/2020
8,"['', '', '', '', '', '', '', '', 'NEGATIVE 466 (70.5%)NEGATIVE 466 (70.5%)8 (1.21%)POSITIVE 8 (1.21%)PENDING 187 (28.29%)PENDING 187 (28.29%)POSITIVEPOSITIVE 8 (1.21%)', '', '', '', '', 'NEGATIVE 466 (70.5%)NEGATIVE 466 (70.5%)', 'NEGATIVE 466 (70.5%)', '8 (1.21%)POSITIVE 8 (1.21%)', 'POSITIVE 8 (1.21%)', 'PENDING 187 (28.29%)PENDING 187 (28.29%)', 'PENDING 187 (28.29%)', 'POSITIVEPOSITIVE 8 (1.21%)', 'POSITIVE 8 (1.21%)']",FAYETTE,12/6/2020
9,"['', '', '', '', '', '', '', '', '384 (47%)NEGATIVE 384 (47%)POSITIVE 7 (0.86%)POSITIVE 7 (0.86%)426 (52.14%)PENDING 426 (52.14%)NEGATIVENEGATIVE 384 (47%)PENDINGPENDING 426 (52.14%)', '', '', '', '', '384 (47%)NEGATIVE 384 (47%)', 'NEGATIVE 384 (47%)', 'POSITIVE 7 (0.86%)POSITIVE 7 (0.86%)', 'POSITIVE 7 (0.86%)', '426 (52.14%)PENDING 426 (52.14%)', 'PENDING 426 (52.14%)', 'NEGATIVENEGATIVE 384 (47%)', 'NEGATIVE 384 (47%)', 'PENDINGPENDING 426 (52.14%)', 'PENDING 426 (52.14%)']",FOREST,12/6/2020
